courseURI,courseName,courseSubject,courseNumber,universityName,universityURI
file:///Users/jatin/workspace/roboprof/data#6818279487,Numerical Analysis,MAST,334,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6083804626,VLSI Circuit Design,COMP,6511,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6031810555,MANAGEMENT ACCOUNTING,MBA,628,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8533451907,Bioinformatics,BIOL,480,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1023281622,Theory/MIDIstration II,EAST,310,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6613691444,STUDIO/WKS IMPROVISATION,DTHY,603,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4116222484,ANGELS AND DEMONS IN JUDAISM,RELI,390,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5698939467,SEL TOPICS IN US HISTORY,HIST,630,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1947538000,Dynamics,ENGR,243,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5723241867,Gender and Sexuality in Literary Studies,ENGL,393,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6063586475,CANADIAN DOCUMENTARY FILM,COMS,652,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3783396156,COMPOSING WITH TIME AND SPACE,MUSI,464,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3977141675,Documentary and Photographic Series,JOUR,535,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7231675252,History of Latin America: The Colonial Period,HIST,276,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8257397550,PAVEMENT DESIGN,CIVI,6451,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9920317284,Research Design and Analysis,SOCI,410,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2307559408,Stress Management:  A Practical Guide,GPWL,901,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5968277534,Fluid Mechanics II,MECH,361,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9941043724,COMP.AIDED BUILD. DESIGN,BLDG,6591,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7869160055,Drawing II,DRAW,300,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1791858935,SEL TOP-SENSE&PERCEPT PROC A,PSYC,232,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6543073164,Digital Electronics,COEN,315,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4268077491,READING COURSE IN ANALYSIS,MAST,667,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7902721537,(also listed as HIST 327) History of the Roman Empire,CLAS,343,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
