courseNo,competency,lectureMaterial,topicUri
COMP 6741,TF-IDF,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Tf–idf
COMP 6741,SCIKIT-LEARN,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Scikit-learn
COMP 6741,SEARCH ENGINE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Search_engine
COMP 6741,OPEN-SOURCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Open-source_software
COMP 6741,MOODLE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Moodle
COMP 6741,LUCENE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Apache_Lucene
COMP 6741,MACHINE LEARNING,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Machine_learning
COMP 6741,GOOGLE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Google
COMP 6741,SOLR,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Apache_Solr
COMP 6741,COSINE SIMILARITY,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Cosine_similarity
COMP 6741,PRINCIPAL COMPONENT ANALYSIS (PCA),file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Principal_component_analysis
COMP 6741,RECOMMENDER ENGINE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Recommender_system
COMP 6741,LIBRARY,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Library
COMP 6741,ALGORITHM,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Algorithm
COMP 6741,NUBUS,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/NuBus
COMP 6741,PERSONAL SPACE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Proxemics
COMP 6741,ELASTICSEARCH,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Elasticsearch
