topicURI,topicName,courseURI,courseName,lectureURI,lectureNumber
file:///Users/jatin/workspace/roboprof/data#7084418136,PYTORCH,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#8137169391,DATA PRE-PROCESSING,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#1981707815,KAGGLE,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#3118988004,LOSS FUNCTION,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#3018277363,PYTORCH,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#3211341345,OPTIMIZATION,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#8784918285,HYPERPARAMETERS,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#8385518194,KERNEL,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#4906005362,CNN,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#6835577232,HYPERPARAMETERS,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#8686013730,CNN,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#5597608975,PYTORCH,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#7367488637,KERNEL,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#5244413760,CNN,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#7160393748,KERNEL,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#3746153359,CONFUSION MATRIX,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#1984358253,CNN,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#2300006103,DATA PRE-PROCESSING,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#1184942153,PYTORCH,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#1457009672,CNN,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#9173710644,DATA PRE-PROCESSING,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#2480851655,LEARNING RATE,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#8788803508,CONVOLUTION,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#7512612160,CONVOLUTIONAL NEURAL NETWORK,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#2748769697,KAGGLE,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#4883343708,KAGGLE,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#2436234548,LANGUAGE MODEL,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#6009180888,VECTOR,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#2844675545,DUDA,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#1693310361,BENGIO,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#7967349031,NATURAL LANGUAGE,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#3530472957,LONG SHORT-TERM MEMORY,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
file:///Users/jatin/workspace/roboprof/data#9926301834,BACKPROPAGATION,file:///Users/jatin/workspace/roboprof/data#1630436613,APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL,7
