courseName,courseURI,courseSubject,courseNumber
Databases,file:///Users/jatin/workspace/roboprof/data#6920963385,COMP,353
Introduction to Computing,file:///Users/jatin/workspace/roboprof/data#1953072712,COMP,201
PARALLEL PROGRAMMING,file:///Users/jatin/workspace/roboprof/data#8208711393,COMP,6281
Mathematics for Computer Science,file:///Users/jatin/workspace/roboprof/data#7766459887,COMP,232
Introduction to Game Development,file:///Users/jatin/workspace/roboprof/data#6308097407,COMP,376
TOPICS/COMPUTER SCIENCE,file:///Users/jatin/workspace/roboprof/data#1289919013,COMP,691
MASTER S RESEARCH AND THESIS,file:///Users/jatin/workspace/roboprof/data#5217695101,COMP,792
Principles of Programming Languages,file:///Users/jatin/workspace/roboprof/data#8384354024,COMP,348
Elementary Numerical Methods,file:///Users/jatin/workspace/roboprof/data#2769714259,COMP,361
Computer Architecture,file:///Users/jatin/workspace/roboprof/data#6765355603,COMP,326
SEL TOP - NUMERICAL COMPUTAT,file:///Users/jatin/workspace/roboprof/data#9002097571,COMP,769
ELEMENTARY NUMERICAL METHODS,file:///Users/jatin/workspace/roboprof/data#2607366250,COMP,5611
ADV.DATABASE TECH. AND APPL.,file:///Users/jatin/workspace/roboprof/data#3713867334,COMP,6521
OPERATING SYSTEMS,file:///Users/jatin/workspace/roboprof/data#2293369039,COMP,5461
THEORY OF COMPUTATION,file:///Users/jatin/workspace/roboprof/data#7497484791,COMP,6641
Data Structures and Algorithms,file:///Users/jatin/workspace/roboprof/data#4032624956,COMP,352
Multicore Programming,file:///Users/jatin/workspace/roboprof/data#5433990589,COMP,426
Pattern Recognition,file:///Users/jatin/workspace/roboprof/data#1561014226,COMP,473
Operating Systems,file:///Users/jatin/workspace/roboprof/data#5334645273,COMP,346
DISTRIBUTED SYSTEM DESIGN,file:///Users/jatin/workspace/roboprof/data#2429594351,COMP,6231
Parallel Programming,file:///Users/jatin/workspace/roboprof/data#6131261193,COMP,428
Computer Science Industrial Experience Reflective Learning I,file:///Users/jatin/workspace/roboprof/data#6925390758,COMP,108
Introduction to Software Engineering,file:///Users/jatin/workspace/roboprof/data#8446896622,COMP,354
Introduction to Game Development,file:///Users/jatin/workspace/roboprof/data#4121434564,COMP,376
"ADVANCED PROGRAM DESIGN, C++",file:///Users/jatin/workspace/roboprof/data#2847805664,COMP,345
TOPICS IN COMPUTER SCIENCE,file:///Users/jatin/workspace/roboprof/data#3429814460,COMP,499
Object-Oriented Programming II,file:///Users/jatin/workspace/roboprof/data#5188773565,COMP,249
