courseURI,courseNo,additionalResources
file:///Users/jatin/workspace/roboprof/data#5084272549,COMP 6741,http://localhost:3030/roboprof/https%3A//stanford.edu/~shervine/teaching/cs-229/refresher-algebra-calculus
file:///Users/jatin/workspace/roboprof/data#5084272549,COMP 6741,http://localhost:3030/roboprof/https%3A//en.wikipedia.org/wiki/K-means_clustering
file:///Users/jatin/workspace/roboprof/data#5084272549,COMP 6741,http://localhost:3030/roboprof/https%3A//www.youtube.com/watch%3Fembed%3Dno%26v%3D4b5d3muPQmA
file:///Users/jatin/workspace/roboprof/data#5084272549,COMP 6741,http://localhost:3030/roboprof/https%3A//www.datacamp.com/community/tutorials/k-nearest-neighbor-classification-scikit-learn
file:///Users/jatin/workspace/roboprof/data#5084272549,COMP 6741,http://localhost:3030/roboprof/https%3A//en.wikipedia.org/wiki/Precision_and_recall
file:///Users/jatin/workspace/roboprof/data#5084272549,COMP 6741,http://localhost:3030/roboprof/https%3A//www.youtube.com/watch%3Fembed%3Dno%26v%3Dr3yMSl5NB_Q
file:///Users/jatin/workspace/roboprof/data#5084272549,COMP 6741,http://localhost:3030/roboprof/https%3A//www.youtube.com/playlist%3Flist%3DPLar5iR7mhb4dJHDSjmeo6W7HomHBSZf9t
file:///Users/jatin/workspace/roboprof/data#5084272549,COMP 6741,http://localhost:3030/roboprof/https%3A//www.youtube.com/watch%3Fembed%3Dno%26v%3Dy7sXDpffzQQ
file:///Users/jatin/workspace/roboprof/data#5084272549,COMP 6741,http://localhost:3030/roboprof/https%3A//techblog.wikimedia.org/2020/03/24/computational-knowledge-wikidata-wikidata-query-service-and-women-who-are-mayors/
file:///Users/jatin/workspace/roboprof/data#5084272549,COMP 6741,http://localhost:3030/roboprof/https%3A//www.youtube.com/watch%3Fembed%3Dno%26v%3DYpK2U1BxX-I
file:///Users/jatin/workspace/roboprof/data#5084272549,COMP 6741,http://localhost:3030/roboprof/https%3A//www.youtube.com/watch%3Fembed%3Dno%26v%3D25UIgiiYqsE
file:///Users/jatin/workspace/roboprof/data#5084272549,COMP 6741,http://localhost:3030/roboprof/https%3A//datajournalism.com/read/longreads/the-promise-of-wikidata
